Title	URL	Assignees	Status	Start Date	Target Date
Server Prototyping	https://github.com/4306-team-noname/barrios/issues/1	nemo-omen	In Progress	Oct 3, 2023	Oct 8, 2023
Stack description	https://github.com/4306-team-noname/barrios/issues/9	nemo-omen	In Progress	Oct 3, 2023	Oct 8, 2023
Data Analysis and Exploration	https://github.com/4306-team-noname/barrios/issues/2	arcxcc, jlozano23, jmorgan28-01	Todo	Oct 3, 2023	Oct 8, 2023
Optimization Function Prototyping	https://github.com/4306-team-noname/barrios/issues/3	arcxcc, jlozano23	Todo	Oct 3, 2023	Oct 8, 2023
Predictive Modeling Prototyping	https://github.com/4306-team-noname/barrios/issues/4	jlozano23, jmorgan28-01	Todo	Oct 3, 2023	Oct 8, 2023
Test Database Setup	https://github.com/4306-team-noname/barrios/issues/5		Todo	Oct 3, 2023	Oct 8, 2023
Start basic HTML/CSS translation of Figma design	https://github.com/4306-team-noname/barrios/issues/6	jeremyjmiles	Todo	Oct 3, 2023	Oct 8, 2023
Forecasting/optimization UML Class Diagrams	https://github.com/4306-team-noname/barrios/issues/7	arcxcc, jlozano23, jmorgan28-01	Todo	Oct 3, 2023	Oct 8, 2023
More detailed use-case diagrams	https://github.com/4306-team-noname/barrios/issues/8	nemo-omen	Todo	Oct 3, 2023	Oct 8, 2023
Flesh out UI prototype to include detailed pages	https://github.com/4306-team-noname/barrios/issues/10	nemo-omen	Todo	Oct 9, 2023	Oct 15, 2023
UML class diagrams of server controllers	https://github.com/4306-team-noname/barrios/issues/11	nemo-omen	Todo	Oct 3, 2023	Oct 8, 2023
UML class diagrams of server services/repositories	https://github.com/4306-team-noname/barrios/issues/12	nemo-omen	Todo	Oct 3, 2023	Oct 8, 2023
UML System Diagram	https://github.com/4306-team-noname/barrios/issues/13	nemo-omen	Todo	Oct 3, 2023	Oct 8, 2023
Deployment stack diagram	https://github.com/4306-team-noname/barrios/issues/14	nemo-omen	Todo	Oct 4, 2023	Oct 8, 2023
Prototype and test csv file upload			Todo	Oct 9, 2023	Oct 15, 2023
Determine necessary DB tables and create table queries			Todo	Oct 9, 2023	Oct 15, 2023
Prototype and test csv DB insertion			Todo	Oct 9, 2023	Oct 15, 2023
Prototype signup/login flow			Todo	Oct 9, 2023	Oct 15, 2023
Prototype login flow			Todo	Oct 9, 2023	Oct 15, 2023
User permissions/access levels?			Todo		
Upload sequence diagram	https://github.com/4306-team-noname/barrios/issues/16	nemo-omen	Done	Oct 4, 2023	Oct 8, 2023
Signup sequence diagram	https://github.com/4306-team-noname/barrios/issues/15	nemo-omen	Done	Oct 4, 2023	Oct 8, 2023
Google Sheets project timeline	https://github.com/4306-team-noname/barrios/issues/17	nemo-omen	In Progress	Oct 4, 2023	Oct 8, 2023
Initial version of optimization method			Todo	Oct 9, 2023	Oct 15, 2023
Initial version of forecasting method/methods			Todo	Oct 9, 2023	Oct 15, 2023
Prototype dashboard page			Todo	Oct 9, 2023	Oct 15, 2023
Initial controllers and services implementation			Todo	Oct 9, 2023	Oct 15, 2023
Initial repository interface and 1st repo implementation			Todo	Oct 9, 2023	Oct 15, 2023
Server MVP			Todo		
