datedim,ims_id,id_parent,id_path,tree_depth,tree,part_number,serial_number,location_name,original_ip_owner,current_ip_owner,operational_nomenclature,russian_name,english_name,barcode,quantity,width,height,length,diameter,calculated_volume,stwg_ovrrd_vol,children_volume,stwg_ovrrd_chldrn_vol,ovrrd_notes,volume_notes,expire_date,launch,type,hazard,state,status,is_container,is_moveable,system,subsystem,action_date,move_date,fill_status,category_id,category_name
9/12/2022 9:01,417890,573,/0/103/284/573/417890/,4,Storage Location,SEG48102042-901,N0110,NOD1S1,NASA,NASA,Food BOB,,BULK OVERWRAP BAG,FEXN0110J,1,381,152.4,254,,0.27903,,,,Rectangular Prism, Assume volume = L*W*H,,,,,Functional,Installed,1,1,Food Supply,,8/9/2022 11:00,8/8/2022 15:29,,6,Food
9/12/2022 9:01,421656,573,/0/103/284/573/421656/,4,Storage Location,SEG48102042-901,J0640,NOD1S1,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXJ0640J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Installed,1,1,Food Supply,,9/6/2022 8:19,9/5/2022 13:49,,6,Food
9/12/2022 9:01,421669,573,/0/103/284/573/421669/,4,Storage Location,SEG48102042-901,H0708,NOD1S1,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXH0708J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Installed,1,1,Food Supply,,9/6/2022 8:18,9/5/2022 13:31,,6,Food
9/12/2022 9:01,421675,573,/0/103/284/573/421675/,4,Storage Location,SEG48102042-901,M0680,NOD1S1,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXM0680J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Installed,1,1,Food Supply,,9/10/2022 18:21,9/9/2022 22:36,,6,Food
9/12/2022 9:01,423045,573,/0/103/284/573/423045/,4,Storage Location,SEG48102042-901,C0092,NOD1S1,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXC0092J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Installed,1,1,Food Supply,,8/24/2022 15:12,8/24/2022 12:30,,6,Food
9/12/2022 9:01,447721,573,/0/103/284/573/447721/,4,Storage Location,SEG48102042-901,S132,NOD1S1,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,F67CS132J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Installed,1,1,Food Supply,,6/3/2022 8:34,6/2/2022 17:41,,6,Food
9/12/2022 9:01,447723,573,/0/103/284/573/447723/,4,Storage Location,SEG48102042-901,P736,NOD1S1,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,F67XP736J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Installed,1,1,Food Supply,,4/25/2022 21:24,4/25/2022 21:24,,6,Food
9/12/2022 9:01,447780,573,/0/103/284/573/447780/,4,Storage Location,SEG48102042-901,G0878,NOD1S1,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXG0878J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Installed,1,1,Food Supply,,9/3/2022 18:19,9/2/2022 21:03,,6,Food
9/12/2022 9:01,448206,573,/0/103/284/573/448206/,4,Storage Location,SEG48102042-901,Z0830,NOD1S1,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXZ0830J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Installed,1,1,Food Supply,,9/7/2022 17:21,9/7/2022 16:43,,6,Food
9/12/2022 9:01,448237,573,/0/103/284/573/448237/,4,Storage Location,SEG48102042-901,Q0674,NOD1S1,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXQ0674J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Installed,1,1,Food Supply,,9/5/2022 9:22,9/3/2022 18:01,,6,Food
9/12/2022 9:01,449529,573,/0/103/284/573/449529/,4,Storage Location,SEG48102042-901,P776,NOD1S1,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,F67XP776J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Installed,1,1,Food Supply,,4/25/2022 21:23,4/25/2022 21:23,,6,Food
9/12/2022 9:01,456372,573,/0/103/284/573/456372/,4,Storage Location,SEG48102042-901,U6698,NOD1S1,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXU6698J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Installed,1,1,Food Supply,,9/8/2022 8:22,9/7/2022 18:58,,6,Food
9/12/2022 9:01,456380,573,/0/103/284/573/456380/,4,Storage Location,SEG48102042-901,D2414,NOD1S1,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXD2414J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Installed,1,1,Food Supply,,9/3/2022 18:19,9/2/2022 20:52,,6,Food
9/12/2022 9:01,458510,573,/0/103/284/573/458510/,4,Storage Location,SEG48102042-901,P762,NOD1S1,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,F67XP762J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Installed,1,1,Food Supply,,8/30/2022 8:27,8/29/2022 13:06,,6,Food
9/12/2022 9:01,458814,573,/0/103/284/573/458814/,4,Storage Location,SEG48102042-901,P772,NOD1S1,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,F67XP772J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Installed,1,1,Food Supply,,7/21/2022 13:37,7/21/2022 13:37,,6,Food
9/12/2022 9:01,458819,573,/0/103/284/573/458819/,4,Storage Location,SEG48102042-901,S202,NOD1S1,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,F67CS202J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Installed,1,1,Food Supply,,8/17/2022 18:58,8/17/2022 9:28,,6,Food
9/12/2022 9:01,460513,573,/0/103/284/573/460513/,4,Storage Location,SEG48102042-901,S228,NOD1S1,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,F67CS228J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Installed,1,1,Food Supply,,9/2/2022 15:05,9/2/2022 12:53,,6,Food
9/12/2022 9:01,460573,573,/0/103/284/573/460573/,4,Storage Location,SEG48102042-901,S218,NOD1S1,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,F67CS218J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Installed,1,1,Food Supply,,9/11/2022 18:36,9/10/2022 16:09,,6,Food
9/12/2022 9:01,422936,452501,/0/103/452501/422936/,3,Storage Location,11Ф615.8720А55-10,1233,NOD1,NASA,RSA00,Solid Waste Container - Lid,Крышка контейнера твердых отходов,SOLID WASTE CONTAINER BOTTOM,00265598J,1,,80,,330,0.12946,,,,Cylinder, Assume volume = H*pi(D/2)^2,,,Item,,Functional,Stowed,1,1,,,3/28/2022 0:58,3/26/2022 18:35,,3,KTO
9/12/2022 9:01,440504,452501,/0/103/452501/440504/,3,Storage Location,11Ф615.8720А55-10,1203,NOD1,NASA,RSA00,Solid Waste Container - Lid,Крышка контейнера твердых отходов,SOLID WASTE CONTAINER BOTTOM,00261372J,1,,80,,330,0.12946,,,,Cylinder, Assume volume = H*pi(D/2)^2,,,Item,,Functional,Stowed,1,1,,,3/28/2022 0:58,3/26/2022 18:36,,3,KTO
9/12/2022 9:01,440529,356199,/0/1311/356199/440529/,3,Storage Location,А8-9060-400,970976,PMA1,NASA,NASA,ACY Inserts Kit,Вкладыши АСУ (уп.),TOILET (АСУ) INSERTS,,1,230,95,230,,0.09508,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,7/7/2022 12:28,7/7/2022 12:28,,4,ACY Inserts
9/12/2022 9:01,440530,356199,/0/1311/356199/440530/,3,Storage Location,А8-9060-400,970978,PMA1,NASA,NASA,ACY Inserts Kit,Вкладыши АСУ (уп.),TOILET (АСУ) INSERTS,,1,230,95,230,,0.09508,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,7/7/2022 12:28,12/22/2021 19:10,,4,ACY Inserts
9/12/2022 9:01,440532,356199,/0/1311/356199/440532/,3,Storage Location,А8-9060-400,1070981,PMA1,NASA,NASA,ACY Inserts Kit,Вкладыши АСУ (уп.),TOILET (АСУ) INSERTS,,1,230,95,230,,0.09508,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,7/7/2022 12:28,12/22/2021 19:10,,4,ACY Inserts
9/12/2022 9:01,440533,356199,/0/1311/356199/440533/,3,Storage Location,А8-9060-400,970980,PMA1,NASA,NASA,ACY Inserts Kit,Вкладыши АСУ (уп.),TOILET (АСУ) INSERTS,,1,230,95,230,,0.09508,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,7/7/2022 12:28,12/22/2021 19:10,,4,ACY Inserts
9/12/2022 9:01,440534,356199,/0/1311/356199/440534/,3,Storage Location,А8-9060-400,970979,PMA1,NASA,NASA,ACY Inserts Kit,Вкладыши АСУ (уп.),TOILET (АСУ) INSERTS,,1,230,95,230,,0.09508,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,7/7/2022 12:28,12/22/2021 19:10,,4,ACY Inserts
9/12/2022 9:01,440535,356199,/0/1311/356199/440535/,3,Storage Location,А8-9060-400,970977,PMA1,NASA,NASA,ACY Inserts Kit,Вкладыши АСУ (уп.),TOILET (АСУ) INSERTS,,1,230,95,230,,0.09508,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,7/7/2022 12:28,12/22/2021 19:10,,4,ACY Inserts
9/12/2022 9:01,440536,356199,/0/1311/356199/440536/,3,Storage Location,А8-9060-400,970975,PMA1,NASA,NASA,ACY Inserts Kit,Вкладыши АСУ (уп.),TOILET (АСУ) INSERTS,,1,230,95,230,,0.09508,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,7/7/2022 12:28,7/7/2022 12:28,,4,ACY Inserts
9/12/2022 9:01,447329,412925,/0/1311/412925/447329/,3,Storage Location,А8-9060-400,970959,PMA1,NASA,NASA,ACY Inserts Kit,Вкладыши АСУ (уп.),TOILET (АСУ) INSERTS,,1,230,95,230,,0.09508,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,7/7/2022 12:35,4/2/2022 21:14,,4,ACY Inserts
9/12/2022 9:01,447828,412925,/0/1311/412925/447828/,3,Storage Location,А8-9060-400,970960,PMA1,NASA,NASA,ACY Inserts Kit,Вкладыши АСУ (уп.),TOILET (АСУ) INSERTS,,1,230,95,230,,0.09508,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,7/7/2022 12:35,3/29/2022 20:21,,4,ACY Inserts
9/12/2022 9:01,447829,412925,/0/1311/412925/447829/,3,Storage Location,А8-9060-400,970963,PMA1,NASA,NASA,ACY Inserts Kit,Вкладыши АСУ (уп.),TOILET (АСУ) INSERTS,,1,230,95,230,,0.09508,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,7/7/2022 12:35,3/29/2022 20:21,,4,ACY Inserts
9/12/2022 9:01,447830,412925,/0/1311/412925/447830/,3,Storage Location,А8-9060-400,970957,PMA1,NASA,NASA,ACY Inserts Kit,Вкладыши АСУ (уп.),TOILET (АСУ) INSERTS,,1,230,95,230,,0.09508,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,7/7/2022 12:35,3/29/2022 20:21,,4,ACY Inserts
9/12/2022 9:01,447848,412925,/0/1311/412925/447848/,3,Storage Location,А8-9060-400,970955,PMA1,NASA,NASA,ACY Inserts Kit,Вкладыши АСУ (уп.),TOILET (АСУ) INSERTS,,1,230,95,230,,0.09508,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,7/7/2022 12:35,3/29/2022 20:21,,4,ACY Inserts
9/12/2022 9:01,448164,442166,/0/1311/442166/448164/,3,Storage Location,А8-9060-400,970969,PMA1,NASA,NASA,ACY Inserts Kit,Вкладыши АСУ (уп.),TOILET (АСУ) INSERTS,,1,230,95,230,,0.09508,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,7/7/2022 11:30,4/11/2022 19:00,,4,ACY Inserts
