,datedim,ims_id,category_name,status,actual_value
0,2023-06-02,244111,ACY Inserts,Stowed,1
1,2023-06-02,260923,ACY Inserts,Stowed,1
2,2023-06-02,325376,ACY Inserts,Stowed,1
3,2023-06-02,325377,ACY Inserts,Stowed,1
4,2023-06-02,325379,ACY Inserts,Stowed,1
5,2023-06-02,325380,ACY Inserts,Stowed,1
6,2023-06-02,325381,ACY Inserts,Stowed,1
7,2023-06-02,325383,ACY Inserts,Stowed,1
8,2023-06-02,336179,ACY Inserts,Stowed,1
9,2023-06-02,336181,ACY Inserts,Stowed,1
10,2023-06-02,336182,ACY Inserts,Stowed,1
11,2023-06-02,353551,ACY Inserts,Stowed,1
12,2023-06-02,387468,ACY Inserts,Stowed,1
13,2023-06-02,405362,ACY Inserts,Stowed,1
14,2023-06-02,405364,ACY Inserts,Stowed,1
15,2023-06-02,405366,ACY Inserts,Stowed,1
16,2023-06-02,419117,ACY Inserts,Stowed,1
17,2023-06-02,419118,ACY Inserts,Stowed,1
18,2023-06-02,419121,ACY Inserts,Stowed,1
19,2023-06-02,421645,ACY Inserts,Stowed,1
20,2023-06-02,421646,ACY Inserts,Stowed,1
21,2023-06-02,422082,ACY Inserts,Stowed,1
22,2023-06-02,422083,ACY Inserts,Stowed,1
23,2023-06-02,422084,ACY Inserts,Stowed,1
24,2023-06-02,422855,ACY Inserts,Stowed,1
25,2023-06-02,423859,ACY Inserts,Stowed,1
26,2023-06-02,423860,ACY Inserts,Stowed,1
27,2023-06-02,435868,ACY Inserts,Stowed,1
28,2023-06-02,438179,ACY Inserts,Stowed,1
29,2023-06-02,445541,ACY Inserts,Stowed,1
30,2023-06-02,447329,ACY Inserts,Stowed,1
31,2023-06-02,447828,ACY Inserts,Stowed,1
32,2023-06-02,447829,ACY Inserts,Stowed,1
33,2023-06-02,447830,ACY Inserts,Stowed,1
34,2023-06-02,448164,ACY Inserts,Stowed,1
35,2023-06-02,448165,ACY Inserts,Stowed,1
36,2023-06-02,448167,ACY Inserts,Stowed,1
37,2023-06-02,448168,ACY Inserts,Stowed,1
38,2023-06-02,448189,ACY Inserts,Stowed,1
39,2023-06-02,448190,ACY Inserts,Stowed,1
40,2023-06-02,448192,ACY Inserts,Stowed,1
41,2023-06-02,448193,ACY Inserts,Stowed,1
42,2023-06-02,456714,ACY Inserts,Stowed,1
43,2023-06-02,456715,ACY Inserts,Stowed,1
